sig_id	canonical_smiles
LJP009_MCF7_24H:K13	C1CC1COC2=CC=CC(=O)C2=C3C=C(C(=C(N3)N)C#N)C4CCNCC4
CPC014_MCF7_24H:BRD-K77286328-001-02-9:10	C1CCC(CC1)Nc2nc(Nc3ccc(cc3)N4CCOCC4)nc5[nH]cnc25
CPC005_MCF7_24H:BRD-A52660433-066-01-3:10	C1CCC(CC1)c1ccc2n3CCNC4CCCc(c34)c2c1
CPC017_MCF7_24H:BRD-K73397362-001-01-7:10	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
LJP009_MCF7_24H:N13	C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC4=CC=CC=C43)C#N
CPC013_MCF7_24H:BRD-K29699988-001-01-5:10	C1CCN(C1)c2nc(N3CCCC3)c4ccccc4n2
CPC007_MCF7_24H:BRD-K22006123-001-05-7:10	C1CCN(C1)c2nc(Nc3ccccc3)nc(n2)N4CCOCC4
CPC018_MCF7_24H:BRD-K15519488-001-01-6:10	C1CCN(CC1)C1(CCCCC1)c1cc2ccccc2s1
CPC018_MCF7_24H:BRD-K36638830-001-02-2:10	C1CC[C@@H](NC1)c2cccnc2
CPC005_MCF7_24H:BRD-K55430733-003-01-6:10	C1CCc2c(C1)n1CCNCc3cccc2c13
PCLB001_MCF7_24H:G23	C1CCc2ncc(c3ccc(cc3)c4ccccc4)n2CC1
CPC015_MCF7_24H:BRD-K57718010-001-08-5:10	C1CCc2nnnn2CC1
LJP005_MCF7_24H:E13	C1CN(C1)CC2CC(C2)N3C=C(C4=C3N=CN=C4N)C5=CC(=CC=C5)OCC6=CC=CC=C6
CPC012_MCF7_24H:BRD-A51777634-001-01-0:10	C1CN(CC1C1CCCCC1)c1nc(nnc1-c1ccccc1)-c1ccccn1
CPC009_MCF7_24H:BRD-K59705555-001-01-6:10	C1CN(CCC1Oc1ccccc1)c1ncnc2sccc12
LJP008_MCF7_24H:E07	C1CN(CCC2=CC=CC=C21)C3=CC(=NC(=N3)C4=CC=CC=N4)NCCC(=O)[O-]
LJP008_MCF7_24H:P01	C1CN(CCC2=CC=CC=C21)C3=CC(=NC(=N3)C4=CN=CC=C4)NCCC(=O)[O-]
POL001_MCF7_24H:I19	C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
CPC015_MCF7_24H:BRD-K77925998-050-06-9:10	C1CN(CCN1)c1ccc2ccccc2n1
LKCP002_MCF7_24H:H13	C1CN(CCO1)c2nnc(c3ccccc3)c(n2)c4ccccc4
